
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,

5,4,5,8,
6,3,6,9,
6,4,4,8,
5,7,7,4,
6,5,5,4,
5,5,7,3,
6,5,4,5,
5,4,7,6,
6,4,4,8,
5,7,9,2,
5,3,5,11,
6,5,4,5,
6,7,6,4,
6,5,4,5,
5,5,6,4,
6,7,8,2,
5,7,8,3,
5,5,7,3,
5,3,5,11,
6,5,4,5,
6,1,4,17,
5,3,10,13,
6,4,5,7,
6,5,4,5,
5,5,7,10,
5,5,6,4,
5,4,8,5,
5,7,7,4,
6,5,4,5,
5,4,7,6,
5,5,8,9,
5,3,6,10,
5,5,6,4,
6,4,5,7,
5,5,5,5,
5,4,7,6,
6,7,7,3,
6,5,4,5,
6,4,5,7,
6,4,4,8,
6,5,4,5,
5,5,6,4,
5,6,7,7,
6,5,4,5,
5,3,5,11,
6,5,4,5,
5,6,7,7,
5,7,7,4,
5,4,6,7,
5,5,7,10,
5,5,7,10,
5,6,10,4,
5,5,8,2,
5,5,6,4,
6,6,6,7,
5,3,5,11,
6,3,4,11,
6,4,5,7,
6,4,4,8,
6,5,5,4,
5,6,10,4,
6,5,5,4,
6,5,4,5,
6,6,7,6,
6,7,9,1,
6,5,4,5,
5,5,5,5,
6,5,4,5,
6,5,6,3,
5,4,5,8,
6,5,4,5,
5,3,5,11,
6,4,7,5,
6,7,6,4,
6,5,6,3,
5,4,5,8,
5,2,6,13,
6,4,4,8,
6,5,4,5,
5,3,6,10,
6,5,5,4,
5,4,6,7,
5,5,5,5,
6,5,4,5,
6,5,4,5,
5,6,7,7,
5,7,9,2,
5,3,6,10,
5,6,8,6,
5,4,6,7,
5,2,5,14,
6,4,4,8,
6,5,5,4,
6,5,4,5,
5,3,5,11,
6,3,5,10,
6,4,5,7,
5,5,7,3,
5,7,8,3,
6,5,4,5,

5,4,6,7,
6,5,8,8,
6,4,4,8,
6,7,6,4,
6,5,5,4,
5,5,7,3,
6,5,4,5,
5,3,9,7,
5,6,7,7,
6,7,8,2,
5,5,8,9,
5,6,7,7,
6,7,6,4,
5,6,8,6,
5,2,9,10,
5,9,11,1,
5,6,9,5,
5,4,8,5,
6,3,4,11,
6,5,4,5,
6,1,4,17,
6,5,11,12,
6,4,5,7,
5,8,9,6,
5,4,9,11,
6,4,5,7,
6,4,8,4,
5,9,9,3,
5,7,7,4,
5,6,9,5,
5,4,10,17,
6,3,5,10,
5,4,7,6,
5,5,11,6,
6,6,7,6,
6,6,9,4,
5,9,10,2,
5,7,7,4,
6,6,7,6,
6,4,4,8,
6,7,6,4,
6,4,5,7,
6,6,6,7,
6,7,6,4,
6,2,4,14,
6,5,4,5,
6,6,7,6,
6,9,8,3,
6,4,5,7,
6,5,7,9,
6,5,6,10,
6,6,9,4,
6,7,9,1,
5,5,6,4,
5,8,10,5,
6,3,5,10,
5,3,7,16,
6,4,5,7,
6,6,8,5,
5,7,8,3,
6,6,10,3,
5,5,8,9,
6,9,8,3,
5,8,11,4,
6,9,11,0,
5,7,8,3,
6,5,4,5,
5,8,9,6,
6,7,8,2,
6,4,4,8,
6,5,4,5,
5,3,6,10,
6,4,7,5,
6,7,6,4,
5,7,10,1,
5,2,6,13,
6,4,7,12,
6,4,4,8,
5,7,7,4,
6,3,6,9,
6,7,7,3,
5,3,8,8,
6,5,5,4,
5,7,7,4,
6,5,4,5,
6,4,6,13,
6,6,8,5,
5,4,8,12,
5,5,8,9,
6,4,5,7,
5,1,7,15,
5,6,8,6,
5,6,8,6,
5,7,7,4,
5,2,7,12,
5,5,8,9,
6,4,5,7,
5,7,9,2,
5,9,10,2,
6,5,4,5,

6,3,5,10,
5,8,14,8,
6,4,4,8,
6,7,6,4,
6,6,8,5,
5,3,8,8,
6,5,4,5,
6,3,8,7,
6,4,8,11,
5,10,13,3,
5,3,9,14,
5,6,7,7,
5,9,9,3,
6,6,8,5,
6,1,8,13,
6,9,10,1,
6,6,8,5,
5,2,9,10,
6,3,4,11,
6,5,4,5,
5,3,9,21,
5,6,14,14,
6,4,5,7,
6,7,8,9,
5,3,11,12,
5,6,8,6,
5,8,13,2,
6,9,8,3,
5,9,10,2,
6,6,10,3,
5,3,10,20,
5,4,8,12,
5,3,7,9,
6,4,10,9,
6,8,10,4,
6,6,9,4,
5,8,10,5,
5,5,8,9,
5,8,10,5,
5,5,7,10,
6,9,8,3,
6,5,8,8,
5,10,12,4,
6,7,6,4,
5,4,8,12,
6,5,4,5,
5,6,10,11,
6,9,8,3,
6,4,5,7,
6,6,9,11,
6,6,8,12,
5,8,12,3,
6,9,11,0,
6,4,6,6,
5,8,11,4,
5,5,10,7,
5,7,11,14,
6,6,7,6,
6,8,10,4,
5,9,12,0,
6,6,10,3,
5,7,10,8,
6,11,10,2,
5,8,16,6,
5,10,16,8,
6,7,7,3,
5,7,7,4,
5,7,10,8,
5,9,13,0,
5,3,7,16,
6,7,6,4,
5,5,10,7,
5,5,11,6,
5,9,9,3,
5,7,11,0,
5,4,8,12,
6,4,7,12,
5,6,7,7,
5,8,10,5,
5,5,11,6,
6,7,7,3,
6,1,8,13,
6,5,5,4,
6,9,8,3,
5,8,11,4,
6,4,6,13,
6,6,8,5,
6,4,7,12,
6,2,7,18,
6,4,5,7,
6,0,6,21,
6,6,8,5,
6,4,9,10,
6,7,6,4,
5,1,8,14,
5,7,14,11,
5,6,9,5,
5,6,9,5,
6,8,9,5,
6,5,4,5,

5,4,8,12,
6,8,14,7,
6,4,4,8,
5,9,9,3,
5,7,16,9,
5,5,10,7,
5,5,8,9,
5,4,11,9,
5,6,11,10,
5,9,14,5,
6,5,10,13,
5,4,7,13,
5,8,10,5,
6,7,11,6,
5,4,13,14,
6,9,10,1,
5,9,15,4,
6,0,12,12,
6,5,6,10,
6,7,6,4,
6,2,9,23,
5,6,15,13,
5,6,8,6,
6,7,8,9,
6,0,10,21,
5,6,9,5,
5,7,14,4,
6,9,8,3,
5,9,11,1,
6,6,10,3,
6,3,10,19,
6,3,10,12,
5,0,7,21,
6,4,10,9,
5,10,14,2,
6,6,9,4,
6,7,10,7,
5,5,9,8,
6,8,9,5,
6,5,6,10,
5,11,12,1,
6,5,8,8,
